day,country,"player size",opportunities,"ad requests",impressions,"fillrate %",revenue,rpm,"impression rpm",cost
2018-11-11,RO,1920x1080,1,9,0,0,0,0,0,0
2018-11-11,PE,320x100,1,9,0,0,0,0,0,0
2018-11-11,BN,720x1280,1,72,0,0,0,0,0,0
2018-11-11,ME,300x250,136,190,0,0,0,0,0,0
2018-11-11,CA,768x1024,14502,2061316,6207,42.80,11.57,.79,1.86,6.79
2018-11-11,PH,0x0,1,9,0,0,0,0,0,0
2018-11-11,CA,0x0,0,18,0,0,0,0,0,0
2018-11-11,NO,1280x728,1,9,1,100.00,0,2.00,2.00,0
2018-11-11,TH,300x250,12358,31118,0,0,0,0,0,0
2018-11-11,LB,1280x760,2,454,0,0,0,0,0,0
2018-11-11,RO,768x1024,21,4009,1,4.76,0,.07,1.50,0
2018-11-11,BY,480x320,2,9,0,0,0,0,0,0
2018-11-11,CA,400x720,4,190,0,0,0,0,0,0
2018-11-11,GB,320x480,8272,540135,57,.68,.11,.01,2.02,.04
2018-11-11,SK,720x1280,1,345,0,0,0,0,0,0
2018-11-11,ID,320x100,32,36,0,0,0,0,0,0
2018-11-11,CH,1280x760,6,818,0,0,0,0,0,0
2018-11-11,PK,320x480,659,5599,0,0,0,0,0,0
2018-11-11,US,728x1024,189338,25867192,136733,72.21,244.11,1.28,1.78,20.65
2018-11-11,AL,728x1024,1,63,0,0,0,0,0,0
2018-11-11,SN,720x1280,1,0,0,0,0,0,0,0
2018-11-11,PH,300x250,906,4599,0,0,0,0,0,0
2018-11-11,TR,1024x768,61,3863,0,0,0,0,0,0
2018-11-11,AU,1280x720,3488,336563,195,5.59,.38,.11,1.96,.04
2018-11-11,VI,728x1024,0,454,0,0,0,0,0,0
2018-11-11,YE,300x250,592,690,0,0,0,0,0,0
2018-11-11,SE,768x1024,1428,253290,154,10.78,.28,.19,1.83,.06
2018-11-11,RW,300x250,428,627,0,0,0,0,0,0
2018-11-11,GB,1024x768,2633,422345,23,.87,.03,.01,1.66,.02
2018-11-11,BT,768x1024,62,12127,0,0,0,0,0,0
2018-11-11,KY,728x1024,0,136,0,0,0,0,0,0
2018-11-11,BW,300x250,116,154,0,0,0,0,0,0
2018-11-11,SB,728x1024,1,145,0,0,0,0,0,0
2018-11-11,MO,300x250,0,436,0,0,0,0,0,0
2018-11-11,PL,480x320,2015,2981,0,0,0,0,0,0
2018-11-11,AT,768x1024,11,3745,0,0,0,0,0,0
2018-11-11,AF,320x100,18,18,0,0,0,0,0,0
2018-11-11,US,300x50,2,0,0,0,0,0,0,0
2018-11-11,FR,0x0,0,127,0,0,0,0,0,0
2018-11-11,EC,728x1024,8,745,0,0,0,0,0,0
2018-11-11,UG,480x320,6,9,0,0,0,0,0,0
2018-11-11,SZ,480x320,0,18,0,0,0,0,0,0
2018-11-11,BR,728x250,0,9,0,0,0,0,0,0
2018-11-11,TT,1280x720,5,736,0,0,0,0,0,0
2018-11-11,KZ,1280x720,4,545,0,0,0,0,0,0
2018-11-11,BN,768x1024,24,3409,0,0,0,0,0,0
2018-11-11,CK,300x250,15,27,0,0,0,0,0,0
2018-11-11,US,1280x728,24639,2784869,13268,53.84,22.98,.93,1.73,.13
2018-11-11,SS,768x1024,6,881,0,0,0,0,0,0
2018-11-11,RU,0x0,0,72,0,0,0,0,0,0
2018-11-11,PS,300x250,941,1354,0,0,0,0,0,0
2018-11-11,SK,300x250,391,554,0,0,0,0,0,0
2018-11-11,CA,1024x768,12800,1212835,4790,37.42,8.22,.64,1.71,1.03
2018-11-11,AE,728x1024,866,859617,9720,1122.40,15.53,17.93,1.59,0
2018-11-11,MD,728x1024,1,0,0,0,0,0,0,0
2018-11-11,KM,480x320,1,0,0,0,0,0,0,0
2018-11-11,TR,728x1280,24,3418,0,0,0,0,0,0
2018-11-11,CF,768x1024,3,172,0,0,0,0,0,0
2018-11-11,CA,408x320,0,9,0,0,0,0,0,0
2018-11-11,AL,720x1280,5,1645,0,0,0,0,0,0
2018-11-11,CR,720x1280,70,8509,15,21.42,.02,.33,1.56,0
2018-11-11,SG,1280x728,2,527,0,0,0,0,0,0
2018-11-11,BO,320x480,60,263,0,0,0,0,0,0
2018-11-11,LV,320x480,0,18,0,0,0,0,0,0
2018-11-11,KR,768x1024,0,2181,0,0,0,0,0,0
2018-11-11,BE,480x360,1,227,0,0,0,0,0,0
2018-11-11,IT,480x320,5575,52781,3,.05,0,0,1.49,0
2018-11-11,CM,300x250,11,18,0,0,0,0,0,0
2018-11-11,VI,728x1280,0,18,0,0,0,0,0,0
2018-11-11,BZ,728x1024,1,0,0,0,0,0,0,0
2018-11-11,CL,320x100,76,127,0,0,0,0,0,0
2018-11-11,AF,1280x720,4,227,0,0,0,0,0,0
2018-11-11,BD,300x250,6342,9063,0,0,0,0,0,0
2018-11-11,EC,1280x728,1,81,0,0,0,0,0,0
2018-11-11,SN,320x480,7,36,0,0,0,0,0,0
2018-11-11,IQ,1024x768,13,1054,0,0,0,0,0,0
2018-11-11,BO,1920x1080,1,0,0,0,0,0,0,0
2018-11-11,MY,320x480,142478,359908,64,.04,.09,0,1.49,.06
2018-11-11,MW,720x1280,13,2181,0,0,0,0,0,0
2018-11-11,GG,728x1280,1,0,0,0,0,0,0,0
2018-11-11,ZA,320x100,907,1509,6,.66,0,0,1.49,0
2018-11-11,ZA,480x360,16,4981,0,0,0,0,0,0
2018-11-11,MM,728x1280,14,1254,0,0,0,0,0,0
2018-11-11,AL,728x1280,4,536,0,0,0,0,0,0
2018-11-11,FR,768x1024,244,59072,28,11.47,.04,.18,1.64,.04
2018-11-11,KI,300x250,8,18,0,0,0,0,0,0
2018-11-11,CH,720x1280,87,14699,17,19.54,.02,.34,1.76,.01
2018-11-11,FJ,1024x768,1,90,0,0,0,0,0,0
2018-11-11,BF,1024x768,1,27,0,0,0,0,0,0
2018-11-11,NG,1024x768,0,1218,0,0,0,0,0,0
2018-11-11,SE,728x400,1,18,0,0,0,0,0,0
2018-11-11,CZ,320x50,123,145,0,0,0,0,0,0
2018-11-11,CF,300x250,29,63,0,0,0,0,0,0
2018-11-11,RO,1280x720,26,2163,0,0,0,0,0,0
2018-11-11,BM,480x320,2,218,0,0,0,0,0,0
2018-11-11,CD,480x320,46,45,0,0,0,0,0,0
2018-11-11,KZ,1280x728,1,0,0,0,0,0,0,0
2018-11-11,AU,480x320,342,12009,1,.29,0,0,2.71,0
2018-11-11,PH,728x1024,111,6099,0,0,0,0,0,0
2018-11-11,IM,728x1024,3,0,0,0,0,0,0,0
2018-11-11,LY,1024x768,0,45,0,0,0,0,0,0
2018-11-11,N/A,480x320,110,718,0,0,0,0,0,0
2018-11-11,TT,1280x728,1,0,0,0,0,0,0,0
2018-11-11,SO,768x1024,320,58572,0,0,0,0,0,0
2018-11-11,AZ,320x480,23,481,0,0,0,0,0,0
2018-11-11,US,640x480,30,10636,7,23.33,.01,.56,2.40,0
2018-11-11,RS,1024x768,0,63,0,0,0,0,0,0
2018-11-11,SR,728x1024,1,209,0,0,0,0,0,0
2018-11-11,CZ,768x1024,18,4072,0,0,0,0,0,0
2018-11-11,IS,300x250,69,72,0,0,0,0,0,0
2018-11-11,HK,768x1024,2316,917799,393,16.96,.76,.33,1.95,.50
2018-11-11,GB,400x728,1,2054,0,0,0,0,0,0
2018-11-11,RO,720x1080,2,9,0,0,0,0,0,0
2018-11-11,AF,728x1024,4,1299,0,0,0,0,0,0
2018-11-11,TW,1920x1080,193,124872,159,82.38,.24,1.24,1.51,0
2018-11-11,MY,300x250,1174,237436,6,.51,0,0,1.44,0
2018-11-11,MZ,320x480,51,409,0,0,0,0,0,0
2018-11-11,AU,720x1280,2304,274763,250,10.85,.49,.21,1.97,.19
2018-11-11,DO,768x1024,2354,673490,561,23.83,.87,.37,1.56,.87
2018-11-11,FI,1280x760,1,218,0,0,0,0,0,0
2018-11-11,NG,728x1024,1,0,0,0,0,0,0,0
2018-11-11,KI,320x480,0,63,0,0,0,0,0,0
2018-11-11,CA,480x360,29,3136,10,34.48,.02,.85,2.49,0
2018-11-11,PK,1280x720,2,499,0,0,0,0,0,0
2018-11-11,PR,728x1024,12,4681,57,475.00,.08,7.12,1.50,0
2018-11-11,JM,300x250,938,1572,0,0,0,0,0,0
2018-11-11,DK,1280x720,1,9,0,0,0,0,0,0
2018-11-11,FR,320x50,552,599,0,0,0,0,0,0
2018-11-11,AU,1280x728,322,35472,453,140.68,.77,2.40,1.70,0
2018-11-11,GU,768x1024,94,7872,1,1.06,0,.02,2.00,0
